Team 1|Team 2|Winner|Margin|Ground|Match Date|Scorecard
New Zealand|Pakistan|New Zealand|61 runs|Wellington|6 Jan 18|ODI # 3946
New Zealand|Pakistan|New Zealand|8 wickets|Nelson|9 Jan 18|ODI # 3947
U.A.E.|Ireland|Ireland|4 wickets|ICCA Dubai|11 Jan 18|ODI # 3948
New Zealand|Pakistan|New Zealand|183 runs|Dunedin|13 Jan 18|ODI # 3949
U.A.E.|Ireland|Ireland|67 runs|ICCA Dubai|13 Jan 18|ODI # 3950
Australia|England|England|5 wickets|Melbourne|14 Jan 18|ODI # 3951
Bangladesh|Zimbabwe|Bangladesh|8 wickets|Dhaka|15 Jan 18|ODI # 3952
New Zealand|Pakistan|New Zealand|5 wickets|Hamilton|16 Jan 18|ODI # 3953
Ireland|Scotland|Ireland|6 wickets|ICCA Dubai|16 Jan 18|ODI # 3954
Sri Lanka|Zimbabwe|Zimbabwe|12 runs|Dhaka|17 Jan 18|ODI # 3955
Ireland|Scotland|Ireland|24 runs|ICCA Dubai|18 Jan 18|ODI # 3956
New Zealand|Pakistan|New Zealand|15 runs|Wellington|19 Jan 18|ODI # 3957
Australia|England|England|4 wickets|Brisbane|19 Jan 18|ODI # 3958
Bangladesh|Sri Lanka|Bangladesh|163 runs|Dhaka|19 Jan 18|ODI # 3959
Australia|England|England|16 runs|Sydney|21 Jan 18|ODI # 3960
U.A.E.|Scotland|Scotland|31 runs|ICCA Dubai|21 Jan 18|ODI # 3961
Sri Lanka|Zimbabwe|Sri Lanka|5 wickets|Dhaka|21 Jan 18|ODI # 3962
U.A.E.|Scotland|U.A.E.|4 wickets|ICCA Dubai|23 Jan 18|ODI # 3963
Bangladesh|Zimbabwe|Bangladesh|91 runs|Dhaka|23 Jan 18|ODI # 3964
Bangladesh|Sri Lanka|Sri Lanka|10 wickets|Dhaka|25 Jan 18|ODI # 3965
Australia|England|Australia|3 wickets|Adelaide|26 Jan 18|ODI # 3966
Bangladesh|Sri Lanka|Sri Lanka|79 runs|Dhaka|27 Jan 18|ODI # 3967
Australia|England|England|12 runs|Perth|28 Jan 18|ODI # 3968
South Africa|India|India|6 wickets|Durban|1 Feb 18|ODI # 3969
South Africa|India|India|9 wickets|Centurion|4 Feb 18|ODI # 3970
South Africa|India|India|124 runs|Cape Town|7 Feb 18|ODI # 3971
Afghanistan|Zimbabwe|Afghanistan|154 runs|Sharjah|9 Feb 18|ODI # 3972
South Africa|India|South Africa|5 wickets|Johannesburg|10 Feb 18|ODI # 3973
Afghanistan|Zimbabwe|Zimbabwe|154 runs|Sharjah|11 Feb 18|ODI # 3974
Afghanistan|Zimbabwe|Afghanistan|6 wickets|Sharjah|13 Feb 18|ODI # 3975
South Africa|India|India|73 runs|Port Elizabeth|13 Feb 18|ODI # 3976
Afghanistan|Zimbabwe|Afghanistan|10 wickets|Sharjah|16 Feb 18|ODI # 3977
South Africa|India|India|8 wickets|Centurion|16 Feb 18|ODI # 3978
Afghanistan|Zimbabwe|Afghanistan|146 runs|Sharjah|19 Feb 18|ODI # 3979
New Zealand|England|New Zealand|3 wickets|Hamilton|25 Feb 18|ODI # 3980
New Zealand|England|England|6 wickets|Mount Maunganui|28 Feb 18|ODI # 3981
New Zealand|England|England|4 runs|Wellington|3 Mar 18|ODI # 3982
Afghanistan|Scotland|Scotland|7 wickets|Bulawayo|4 Mar 18|ODI # 3983
P.N.G.|U.A.E.|U.A.E.|56 runs|Harare|4 Mar 18|ODI # 3984
Hong Kong|Scotland|Scotland|4 wickets|Bulawayo|6 Mar 18|ODI # 3985
Ireland|P.N.G.|Ireland|4 wickets|Harare|6 Mar 18|ODI # 3986
U.A.E.|West Indies|West Indies|60 runs|Harare|6 Mar 18|ODI # 3987
Zimbabwe|Afghanistan|Zimbabwe|2 runs|Bulawayo|6 Mar 18|ODI # 3988
New Zealand|England|New Zealand|5 wickets|Dunedin|7 Mar 18|ODI # 3989
Afghanistan|Hong Kong|Hong Kong|30 runs|Bulawayo|8 Mar 18|ODI # 3990
P.N.G.|West Indies|West Indies|6 wickets|Harare|8 Mar 18|ODI # 3991
New Zealand|England|England|7 wickets|Christchurch|10 Mar 18|ODI # 3992
Ireland|West Indies|West Indies|52 runs|Harare|10 Mar 18|ODI # 3993
